individualnumber,gender,citycode,dateofbirth
94212124,K,,1946
96387515,E,34,1974
95040383,E,80,1980
94694434,E,,1970
47648671,E,35,1963
97048907,K,39,1990
17778912,E,10,1979
76573182,E,34,1972
100924435,K,6,1997
97838136,E,7,1994
93083043,K,26,1977
97153946,K,,1995
7543731,E,9,1954
92513129,E,34,1965
6584005,E,58,1965
96368938,E,35,1988
96588131,K,6,1976
97802328,E,,1990
94968624,K,,1992
97517534,E,35,1967
100945969,K,34,1979
97463414,E,1,1979
96830326,K,48,1988
93533093,E,1,1971
92831590,E,,1991
93609950,E,34,1947
94195484,E,35,1977
99656913,K,10,1979
102053516,K,34,1974
84679649,K,34,1983
93219995,E,,1988
18437755,K,,1967
95497876,E,16,1953
101664907,E,3,1992
62135774,E,35,1962
94247198,E,62,1976
98895927,E,34,1988
99893684,E,6,1985
95443287,K,24,1980
94200113,K,17,1996
52762336,E,,1982
99881204,E,,1991
12754115,K,34,1973
93534092,K,,1941
95231945,E,,1976
79043828,E,1,1973
100646085,E,35,1978
102022194,E,35,1985
88018808,E,35,1965
96838034,K,65,2000
100128905,K,,1992
95340593,K,55,1996
76666822,E,13,1985
99329806,E,48,1994
97742498,K,,1992
96061815,K,7,1977
99250400,K,46,1993
95255824,K,7,1985
95660196,K,61,2000
98197034,E,34,1992
96093137,K,34,1995
89147481,E,21,1978
99451342,E,20,1973
94464515,E,7,1986
19856116,E,31,1983
98281946,E,7,1992
76284371,E,34,1965
97012283,E,38,1968
98800880,K,46,1992
100499263,E,6,1999
39637312,E,42,1959
65608072,E,38,1980
101969950,K,35,1970
95223829,K,34,1999
96241305,K,34,1993
99069768,K,20,1970
96431317,K,34,1979
95806875,K,,1998
96334190,K,60,1993
93350524,E,34,1975
99758057,K,,1994
90443307,E,,1980
81548549,E,55,1987
94883508,K,34,1998
95460314,K,23,1995
100973396,E,27,1999
93586540,K,35,1991
102087122,E,10,1956
95850738,K,34,1980
101335312,E,8,1997
93745373,K,,1970
96107697,E,,1987
93375463,K,,1979
19374132,E,27,1973
81891623,K,72,1994
95083716,E,10,1976
100775798,K,34,1990
89202743,E,,1985
92539965,E,,1983
99330479,K,34,1986
92456521,K,35,1992
56151190,E,3,
99688031,K,34,1988
100882509,E,32,1956
56834850,K,35,1941
94367327,E,2,1988
99397079,K,34,1990
21294196,E,59,1972
97346833,E,,1987
93074988,E,,1966
97808833,E,28,1977
99001292,K,26,1996
96961038,E,35,2000
100227765,K,61,1967
100904777,K,60,1979
94944276,E,55,1941
98641313,E,59,1950
95138305,K,6,1977
100613825,E,35,1993
92996642,K,,1955
100500344,K,16,1978
100046868,E,10,1994
88440554,K,63,1989
88476831,K,,1981
99609155,K,34,1981
88688907,K,34,1980
95417063,E,,1991
95737787,E,,1974
99364880,K,34,1992
97639600,E,33,1997
96823943,E,,1993
101385211,K,35,1981
98821007,E,40,2000
848039,K,34,1963
82129515,K,54,1959
100832406,K,,2001
17451132,E,34,1967
100938444,K,35,1960
99743844,E,,1962
66148254,E,34,1976
94139345,E,77,1964
98997132,K,6,2000
100698207,K,30,1992
97617679,K,35,1990
43596263,E,35,1963
53801529,K,59,1979
96739031,E,,1981
98424404,E,34,1967
13568283,E,,1982
94736074,E,34,1982
100260820,K,9,2000
99288084,E,7,1990
8947124,K,,1970
95754162,K,16,1966
99291918,E,34,1975
97459254,K,48,1946
93713031,E,,1972
96389799,E,,1986
94190325,K,6,1967
99891726,E,,1985
101128803,E,,1979
97522102,K,34,1949
96798861,E,60,1979
99489903,E,35,1976
95594534,K,6,1995
100106902,K,47,1992
94109695,K,39,1992
100976210,K,,1985
94539353,E,64,1975
93829612,E,27,1991
3283081,E,6,1977
101236778,E,,1985
98766132,E,23,1980
96496979,K,35,1970
94842316,K,,1948
100932082,K,,1986
97081228,K,34,1984
98262023,E,34,1985
18549951,E,60,1972
94561152,E,,1980
54261979,E,7,1977
89982714,K,32,1997
63545876,K,35,1965
88812115,K,78,1975
97316123,K,56,1985
101521429,E,,1970
95455012,K,,1988
95169097,K,53,2000
94310168,K,,1995
94232781,K,43,1983
101035163,E,41,1994
93561519,K,,1993
97541270,K,,1997
91862667,E,61,1955
88602384,E,31,1977
95028515,K,,1954
95824575,K,34,1978
95875616,E,44,1977
98250685,K,27,2001
97403584,E,,1973
90001964,E,,1966
89049090,K,,1985
93086448,E,6,1984
95278826,K,,1997
8942495,E,34,1951
100754672,E,33,1980
100180741,K,,1996
91927799,K,,1960
89442593,E,71,1968
93407397,K,6,1997
94521979,E,35,1989
99793131,E,6,1981
97682525,E,5,1949
95926596,K,35,1998
100086367,K,34,1991
85711277,E,35,1967
101765235,E,80,1984
101092913,K,59,1959
99168506,K,16,1994
79031491,K,,1970
100648491,K,6,1991
94134573,E,,1989
20566265,E,61,1965
90204252,K,,1948
97336311,K,38,1988
83431377,K,35,1983
93379215,E,54,1993
101525324,K,21,1980
98666742,E,27,1985
97268100,E,20,1992
97696412,K,34,1982
89181087,E,45,1986
99266428,K,34,2000
97640803,K,16,1995
98496571,K,45,1965
100995317,E,26,1982
89473242,K,35,1991
94111918,E,34,1991
101826472,E,7,1980
100532726,E,6,1984
93380561,K,,1970
100269670,K,,1970
95922701,K,35,1969
92414391,E,44,1973
88575487,K,6,1991
100023866,K,33,1986
61813500,K,58,1992
96288573,E,35,1955
92640762,K,,1969
101263267,K,59,1978
94129475,E,34,1989
101162123,E,10,1983
94971356,E,1,1953
95524508,K,35,1986
99337718,E,34,1993
94052006,E,34,1991
101565170,K,34,1995
96081738,K,10,1951
95335026,K,1,1955
97664009,E,34,1973
95158962,E,,1965
97461660,K,42,1969
95425036,E,48,1956
99436843,E,3,1979
94697839,K,,1990
93280885,K,36,1992
96664784,K,14,1996
93758301,E,34,1969
99936527,K,34,1993
80720351,K,,1985
95098928,K,61,1997
97884956,E,35,1994
74700468,E,59,1970
101639417,E,41,1996
101388229,E,,1995
96714479,E,50,1972
93007103,K,34,1987
101856856,K,15,1998
95333884,K,6,1967
98856285,K,41,1991
8877098,E,,1988
92786299,K,34,1992
95142118,E,52,1961
93617128,K,33,1986
